Relatório da campanha
9 de abril de 2025 - 21 de abril de 2025
Estado da campanha,Campanha,Nome do orçamento,Código da moeda,Orçamento,Tipo de orçamento,Estado,Motivos do estado,Pontuação de otimização,Tipo de campanha,Impressões,Interações,Taxa de interação,Custo médio,Custo,Tipo de estratégia de lances,Taxa de conv.,Conversões,Custo/conv.
Ativada,[GRUPO] OMODA RECREIO, --,BRL,"200,00",Diário,Elegível,desconhecido,"92,33",Pesquisa,18 158,2 096,"11,54%","1,18","2473,94",Maximizar as conversões,"3,96%","83,00","29,81"
Ativada,Omoda Jaecoo PMAX [PR], --,BRL,"100,00",Diário,Elegível (com restrições),limitado pelo orçamento; desconhecido,"89,49",Desempenho máximo,27 190,1 786,"6,57%","0,35","620,17",Maximizar as conversões (CPA alvo),"86,11%","1 537,85","0,40"
Ativada,[PMAX] [Omoda RJ], --,BRL,"120,00",Diário,Elegível (aprendizagem),aprendizagem da estratégia de lance; desconhecido,"99,32",Desempenho máximo,75 980,3 592,"4,73%","0,16","590,13",Maximizar as conversões,"0,56%","20,00","29,51"
Ativada,[Search] [Omoda] [PR], --,BRL,"200,00",Diário,Elegível (com restrições),extensão de formulário de leads em falta; desconhecido,"92,33",Pesquisa,23 377,2 851,"12,20%","0,87","2469,22",Maximizar as conversões,"179,38%","5 114,15","0,48"
Total: Campanhas,,,BRL,,,,,,,144 705,10 325,"7,14%","0,60","6153,46",,"65,42%","6 755,00","0,91"
Total: Conta,,,BRL,,,,,,,144 705,10 325,"7,14%","0,60","6153,46",,"65,42%","6 755,00","0,91"
Total: Desempenho máximo,,,BRL,,,,,,Desempenho máximo,103 170,5 378,"5,21%","0,23","1210,30",,"28,97%","1 557,85","0,78"
Total: Pesquisa,,,BRL,,,,,,Pesquisa,41 535,4 947,"11,91%","1,00","4943,16",,"105,06%","5 197,15","0,95"
